relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
main/java/org/apache/felix/metatype/OptionalAttributes.java,org.apache.felix.metatype.OptionalAttributes,16,16,0,0,0,0,1,1,2,2,2,16,8,0,1,0,0,0,0,2,0,0,0,6,6,0,0.0,0,0,0,0.5,1.0,1,1,0,1,0,0,1,1,0,0,1.0,1,1.0,1.0,0,1,0,0,0,276.064843548527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,2,0
main/java/org/apache/felix/metatype/internal/Activator.java,org.apache.felix.metatype.internal.Activator,128,128,0,0,0,0,4,4,9,9,19,128,67,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.422222222222222,0.46428571428571397,1,1,25,1,21,6,4,1,0.75,0.511111111111111,0.583333333333333,0.333333333333333,0.875,0.625,-0.666666666666667,1,0,0,0,0.0,3,4,0,0,0,0,0,0,6,0,0,0,0,3,6,0,3,0,15,3,3,15,0
main/java/org/apache/felix/metatype/internal/BaseProviderHolder.java,org.apache.felix.metatype.internal.BaseProviderHolder,58,58,0,0,0,0,2,2,5,5,5,58,32,0,1,0,0,0,0,5,0,0,0,2,2,0,0.0,0,0,0,0.333333333333333,-0.166666666666667,0,0,3,0,8,6,3,2,0.75,0.533333333333333,0.3,0.4,0.5,0.5,1,0,0,0,0,582.552375114591,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,9,11,0,5,0
main/java/org/apache/felix/metatype/internal/LocalizedAttributeDefinition.java,org.apache.felix.metatype.internal.LocalizedAttributeDefinition,50,50,0,0,0,0,2,1,14,10,3,50,26,1,0,1,0,0,0,10,4,0,1,0,0,1,0.0,0,0,0,0.1,1.0,1,1,0,1,0,0,1,1,0,0.8,1.0,1,1.0,1.0,0,1,0,0,5,0.0,2,1,0,0,0,0,0,0,23,0,0,0,13,14,10,0,1,0,10,1,9,37,0
main/java/org/apache/felix/metatype/internal/LocalizedBase.java,org.apache.felix.metatype.internal.LocalizedBase,45,45,0,0,0,0,1,1,4,4,4,45,24,0,1,0,0,0,0,4,0,0,0,2,2,0,0.0,0,0,0,0.25,0.0,undefined,undefined,1,undefined,5,4,3,1,0.666666666666667,0.5,0.5,0.5,1.0,1.0,0,undefined,0,0,0,402.05686179963305,2,1,0,0,10,0,0,0,2,0,0,0,0,1,2,0,1,0,7,0,1,5,0
main/java/org/apache/felix/metatype/internal/LocalizedObjectClassDefinition.java,org.apache.felix.metatype.internal.LocalizedObjectClassDefinition,130,130,0,0,0,0,3,2,10,6,5,130,74,1,0,1,0,0,0,6,4,0,1,0,0,1,0.0,0,0,0,0.208333333333333,1.0,1,1,0,1,0,0,1,1,0.4,0.616666666666667,1.0,0.666666666666667,1.0,1.0,0,1,0,0,5,0.0,6,2,0,0,0,0,0,0,26,0,0,0,12,15,14,0,2,0,8,1,10,22,1
main/java/org/apache/felix/metatype/internal/ManagedServiceHolder.java,org.apache.felix.metatype.internal.ManagedServiceHolder,50,50,0,0,0,0,5,3,11,6,5,49,30,1,0,1,0,0,0,6,5,0,1,0,0,1,0.0,0,0,0,0.208333333333333,0.1,0.166666666666667,0.166666666666667,7,0.166666666666667,10,5,2,1,0.733333333333333,0.616666666666667,0.4,0.388888888888889,0.8,0.8,0,0.166666666666667,0,0,4,0.0,2,1,0,0,0,0,0,0,12,0,0,0,8,6,4,0,1,2,6,11,2,16,0
main/java/org/apache/felix/metatype/internal/ManagedServiceTracker.java,org.apache.felix.metatype.internal.ManagedServiceTracker,34,34,0,0,0,0,4,4,4,4,7,34,21,1,0,1,0,0,0,4,0,0,1,0,0,1,0.0,0,0,0,0.4375,1.0,1,1,0,1,0,0,1,1,0.916666666666667,0.458333333333333,1.0,0.3125,1.0,1.0,-0.333333333333333,1,0,0,0,0.0,2,4,0,0,0,0,0,0,9,0,0,0,0,4,9,1,4,0,5,1,4,20,0
main/java/org/apache/felix/metatype/internal/MetaTypeInformationImpl.java,org.apache.felix.metatype.internal.MetaTypeInformationImpl,178,178,0,0,0,0,5,5,18,18,23,178,108,0,1,0,2,0,2,18,0,0,0,1,1,0,0.0,0,0,0,0.138888888888889,0.294117647058824,0.380952380952381,0.714285714285714,25,0.714285714285714,104,55,4,3,0.752941176470588,0.76797385620915,0.3725490196078429,0.288888888888889,0.823529411764706,0.823529411764706,-0.612903225806453,0.380952380952381,0,0,0,982.6838544813901,5,5,0,0,5,0,0,0,15,0,0,0,0,12,15,0,5,3,25,13,12,27,0
main/java/org/apache/felix/metatype/internal/MetaTypeProviderHolder.java,org.apache.felix.metatype.internal.MetaTypeProviderHolder,32,32,0,0,0,0,4,2,9,4,3,31,19,1,0,1,0,0,0,4,5,0,1,0,0,1,0.0,0,0,0,0.25,0.666666666666667,0.666666666666667,1,0,1,1,0,1,1,0.333333333333333,0.5,0.833333333333333,0.75,1.0,1.0,0,0.666666666666667,0,0,7,0.0,1,2,0,0,0,0,0,0,21,0,0,0,17,9,4,0,2,2,5,14,2,19,0
main/java/org/apache/felix/metatype/internal/MetaTypeProviderTracker.java,org.apache.felix.metatype.internal.MetaTypeProviderTracker,25,25,0,0,0,0,1,1,4,4,7,25,15,1,0,1,0,0,0,4,0,0,1,0,0,1,0.0,0,0,0,0.4375,1.0,1,1,0,1,0,0,1,1,0,0.458333333333333,1.0,1,1.0,1.0,-0.333333333333333,1,0,0,0,0.0,2,1,0,0,0,0,0,0,9,0,0,0,0,4,9,1,1,0,5,1,4,22,0
main/java/org/apache/felix/metatype/internal/MetaTypeServiceImpl.java,org.apache.felix.metatype.internal.MetaTypeServiceImpl,193,193,0,0,0,0,3,3,11,11,13,193,103,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.147727272727273,0.155555555555556,1,1,16,1,45,35,7,1,0.733333333333333,0.740909090909091,0.30909090909090897,0.333333333333333,0.9,0.9,-0.399999999999998,1,0,0,0,0.0,10,3,0,0,0,0,0,0,79,0,0,0,0,48,79,2,3,4,16,12,48,128,0
test/java/org/apache/felix/metatype/internal/MetaTypeServiceImplTest.java,org.apache.felix.metatype.internal.MetaTypeServiceImplTest,115,115,0,0,0,0,1,1,6,6,1,115,82,1,0,1,0,0,0,6,0,0,1,0,0,1,0.0,0,0,0,0.166666666666667,1.0,1,1,10,1,0,0,1,1,0,0.666666666666667,1.0,1,1.0,1.0,0,1,0,0,0,0.0,5,1,0,0,0,0,0,0,12,0,0,0,0,4,12,0,1,0,1,0,4,11,0
main/java/org/apache/felix/metatype/internal/ServiceMetaTypeInformation.java,org.apache.felix.metatype.internal.ServiceMetaTypeInformation,35,35,0,0,0,0,5,0,18,3,8,35,15,1,0,1,2,2,0,1,15,2,1,0,0,1,0.111111111111111,0,0,0,0.5,-2.0,undefined,undefined,0,undefined,3,3,3,3,undefined,0.333333333333333,0.0,undefined,0.0,0.0,-1,undefined,0,0,5,0.0,0,0,0,0,0,0,0,0,12,0,0,0,12,5,0,0,0,0,1,1,0,28,0
main/java/org/apache/felix/metatype/internal/l10n/BundleResources.java,org.apache.felix.metatype.internal.l10n.BundleResources,146,146,0,0,0,0,4,4,7,7,12,146,79,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.285714285714286,0.266666666666667,1,1,11,1,16,11,3,1,0.791666666666667,0.595238095238095,0.47619047619047605,0.321428571428571,0.833333333333333,0.666666666666667,-7.7715611723761e-16,1,0,0,0,0.0,1,3,0,0,0,0,0,0,4,0,0,0,0,2,4,0,3,0,16,2,2,9,1
main/java/org/apache/felix/metatype/internal/l10n/Resources.java,org.apache.felix.metatype.internal.l10n.Resources,22,22,0,0,0,0,2,2,4,4,3,22,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.375,0.33333333333333304,0.333333333333333,0.333333333333333,0,0.333333333333333,2,0,1,1,0.5,0.416666666666667,0.666666666666667,0.625,1.0,1.0,0,0.333333333333333,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,6,3,0,4,0
